path,slug,title,artist,year,track_file,md_exists,bc_url,bc_type,folder_exists,n_files
2014 - Victim Pupila,victim-pupila-2014,Victim Pupila,,2014,victim-pupila-2014.mp3,True,https://seminalrecords.bandcamp.com/album/pupila,album,True,2
2014 - VICTIM! - Reality Cut,victim-reality-cut-2017,Reality Cut,VICTIM!,2014,victim-reality-cut-2017.mp3,True,https://cadutenorio.bandcamp.com/album/reality-cut,album,True,2
2014 - Vida De Cacador Ep,vida-de-cacador-ep-2013,Vida De Cacador Ep,,2014,vida-de-cacador-ep-2013.mp3,True,http://vidadecacador.bandcamp.com/album/ep-2013,album,True,2
2014 - vinicius-boppre-quarta-feira-2014,vinicius-boppre-quarta-feira-2014,boppre-quarta-feira-2014,vinicius,2014,vinicius-boppre-quarta-feira-2014.mp3,True,,none,True,2
2014 - vinolimbo - I Never Stepped On The Cracks 'cause I Thought I'd Hurt My Mother [NAS012],vinolimbo-i-never-stepped-on-cracks,I Never Stepped On The Cracks 'cause I Thought I'd Hurt My Mother [NAS012],vinolimbo,2014,vinolimbo-i-never-stepped-on-cracks.mp3,True,http://somosnas.bandcamp.com/album/i-never-stepped-on-the-cracks-cause-i-thought-id-hurt-my-mother-nas012**](http://somosnas.bandcamp.com/album/i-never-stepped-on-the-cracks-cause-i-thought-id-hurt-my-mother-nas012,album,True,2
2014 - Vinolimbo End Of What Never Happened,vinolimbo-end-of-what-never-happened,Vinolimbo End Of What Never Happened,,2014,vinolimbo-end-of-what-never-happened.mp3,True,http://somosnas.bandcamp.com/album/the-end-of-what-never-happened-nas007,album,True,2
2014 - vitor-almeida-lopes-noite-2014,vitor-almeida-lopes-noite-2014,almeida-lopes-noite-2014,vitor,2014,vitor-almeida-lopes-noite-2014.mp3,True,https://vitoralmeidalopes.bandcamp.com,generic,True,2
2014 - Vitreaux Dois Por Dois,vitreaux-dois-por-dois-2014,Vitreaux Dois Por Dois,,2014,vitreaux-dois-por-dois-2014.mp3,True,http://monotunerecords.bandcamp.com/album/dois-por-dois-ep-2014,album,True,2
2014 - Wallace Costa - Every Globe Above Our Heads,wallace-costa-every-globe-above-our,Every Globe Above Our Heads,Wallace Costa,2014,wallace-costa-every-globe-above-our.mp3,True,https://wallacecosta.bandcamp.com,generic,True,2
2014 - Yersiniose - 1911,yersiniose-1911-2014,1911,Yersiniose,2014,yersiniose-1911-2014.mp3,True,http://seminalrecords.bandcamp.com/album/1911,album,True,2
2014 - young-lights-cities-2014,young-lights-cities-2014,lights-cities-2014,young,2014,young-lights-cities-2014.mp3,True,https://younglights.bandcamp.com,generic,True,2
2014 - yuri-costa-dissonia-2014,yuri-costa-dissonia-2014,costa-dissonia-2014,yuri,2014,yuri-costa-dissonia-2014.mp3,True,,none,True,2
2014 - zeromou-zeromou-2014,zeromou-zeromou-2014,zeromou-2014,zeromou,2014,zeromou-zeromou-2014.mp3,True,https://zeromou.bandcamp.com,generic,True,2
2014 - zonbizarro-brisa-2014,zonbizarro-brisa-2014,brisa-2014,zonbizarro,2014,zonbizarro-brisa-2014.mp3,True,https://zonbizarro.bandcamp.com,generic,True,2
2014 - Ímpeto - Ímpeto,impeto-impeto-2014,Ímpeto,Ímpeto,2014,impeto-impeto-2014.mp3,True,https://impetohardcore.bandcamp.com,generic,True,2
2013 - acho-melhor-nao-2-2013,acho-melhor-nao-2-2013,melhor-nao-2-2013,acho,2013,acho-melhor-nao-2-2013.mp3,True,https://achomelhornao.bandcamp.com/**](https://achomelhornao.bandcamp.com,generic,True,2
2013 - Adega Ensemble - black van in a small square,adega-ensemble-black-van-in-small,black van in a small square,Adega Ensemble,2013,adega-ensemble-black-van-in-small.mp3,True,http://finneganswake.bandcamp.com/album/black-van-in-a-small-square**](http://finneganswake.bandcamp.com/album/black-van-in-a-small-square,album,True,2
2013 - Affecting Minds - Privacidade Intelectual,affecting-minds-privacidade-intelectual,Privacidade Intelectual,Affecting Minds,2013,affecting-minds-privacidade-intelectual.mp3,True,https://affectingminds.bandcamp.com/**](https://affectingminds.bandcamp.com,generic,True,2
2013 - afro-hooligans-tiny-2013,afro-hooligans-tiny-2013,hooligans-tiny-2013,afro,2013,afro-hooligans-tiny-2013.mp3,True,https://afrohooligans.bandcamp.com/**](https://afrohooligans.bandcamp.com,generic,True,2
2013 - agorero-tairo-pandita-mariri-2013,agorero-tairo-pandita-mariri-2013,tairo-pandita-mariri-2013,agorero,2013,agorero-tairo-pandita-mariri-2013.mp3,True,https://agorero.bandcamp.com/**](https://agorero.bandcamp.com,generic,True,2
2013 - akr1-shes-gone-but-i-got-her-bones-2013,akr1-shes-gone-but-i-got-her-bones-2013,shes-gone-but-i-got-her-bones-2013,akr1,2013,akr1-shes-gone-but-i-got-her-bones-2013.mp3,True,https://akr1.bandcamp.com/**](https://akr1.bandcamp.com,generic,True,2
2013 - albanian-rough-demos-2013,albanian-rough-demos-2013,rough-demos-2013,albanian,2013,albanian-rough-demos-2013.mp3,True,https://albanian.bandcamp.com/**](https://albanian.bandcamp.com,generic,True,2
2013 - albatroz-king-diamond-ep-part-1-2013,albatroz-king-diamond-ep-part-1-2013,king-diamond-ep-part-1-2013,albatroz,2013,albatroz-king-diamond-ep-part-1-2013.mp3,True,https://albatroz.bandcamp.com,generic,True,2
2013 - Aldan Voce Ja Roubou Hoje,aldan-voce-ja-roubou-hoje-2010,Aldan Voce Ja Roubou Hoje,,2013,aldan-voce-ja-roubou-hoje-2010.mp3,True,http://aldan.bandcamp.com/album/voc-j-roubou-hoje,album,True,2
2013 - algido-algido-2013,algido-algido-2013,algido-2013,algido,2013,algido-algido-2013.mp3,True,https://algido.bandcamp.com/**](https://algido.bandcamp.com,generic,True,2
