album_path,year,missing_tracks,missing_nums,domain,download_url,post_url,match_type
2023 - Sophia Chablau e uma Enorme Perda de Tempo - Hominis Canidae #161 - Outubro,2023,9,"5,7,8,10,12,13,14,15,16",mega.nz,https://mega.nz/file/FPEzQbDZ#DD1khrmcRPYKXxTxAPVU1FK7nKCCOXcsYstHgt4Jz7g,https://www.hominiscanidae.org/2025/11/sophia-chablau-e-felipe-vaqueiro.html,exact
2014 - Aparelhagem Malk Espanca Aparelahegm Malk Espanca - AME o Álbum Cor de Abobora,2014,8,"3,4,5,6,7,12,14,15",archive.org,https://archive.org/compress/aparelhagem-malk-espanca-dubionico/formats=VBR%20MP3&file=/aparelhagem-malk-espanca-dubionico.zip,https://www.hominiscanidae.org/2021/06/aparelhagem-malk-espanca-dubionico.html,exact
2021 - Amaro Mann Riegulate - Hominis Canidae #136 - Setembro,2021,8,"7,9,10,12,13,14,15,16",bandcamp.com,https://bandcamp.com/download?id=3775804355&ts=1620607702.2258034034&tsig=90f6df94bb2b54d7cba35def14aa894b&type=album,https://www.hominiscanidae.org/2021/05/amaro-mann-refugio-2021.html,exact
2021 - Banda Lascaux - Hominis Canidae #135 - Agosto,2021,8,"6,7,10,11,12,13,14,16",bandcamp.com,https://bandcamp.com/download?id=3110692556&ts=1627740745.4257960283&tsig=cbaf93b23326a7d6a24db9378e9cde52&type=album,https://www.hominiscanidae.org/2021/08/banda-lascaux-agora-lascaux-2021.html,exact
2022 - Brantez - Hominis Canidae #142 -Março,2022,8,"3,8,10,11,12,13,14,16",mediafire.com,https://www.mediafire.com/file/llw85ll03uwrgo0/Brantez+-+Batidas+Sobre+o+Fim+do+Mundo+\(2022\,https://www.hominiscanidae.org/2022/03/brantez-batidas-sobre-o-fim-do-mundo.html,exact
2022 - O Campo - Hominis Canidae #148 - Setembro,2022,8,"3,5,6,7,8,9,10,12",mediafire.com,https://www.mediafire.com/file/87o2p5g5835jxo4/O+Campo+-+Tatarô+\(2022\,https://www.hominiscanidae.org/2022/11/o-campo-tataro-2022.html,exact
2015 - Sofia Freire - Hominis Canidae #66 - Novembro,2015,8,"5,6,7,8,9,12,13,14",mega.nz,https://mega.nz/#!CdcwEaYD!UffvkBWtDVcaHJP_UX1Ehebo-QazVM8ycoIBL_iej0s,https://www.hominiscanidae.org/2015/11/sofia-freire-garimpo-2015.html,exact
2018 - George Christian - Aos Pássaros Outonais,2018,8,"3,4,5,9,13,15,16,20",mega.nz,https://mega.nz/#!V5kR3JgJ!SULn2wfaHL9SzlJcgci4v3mK0snKDfjfXqxcLFpuqw0,https://www.hominiscanidae.org/2018/08/george-christian-aos-passaros-outonais.html,exact
2023 - Satanique Samba Trio - Hominis Canidae #152 - Janeiro,2023,8,"7,8,9,11,12,13,14,15",mega.nz,https://mega.nz/file/xX4kUCqY#jGszNq60wLm6geJy7lW-vx8MrVhEO2B4IldYrb5XO20,https://www.hominiscanidae.org/2023/12/satanique-samba-trio-so-bad-2023.html,exact
2021 - Kassin Vovô Bebê - Hominis Canidae #139 - Dezembro,2021,7,"6,7,8,9,13,15,18",archive.org,https://archive.org/compress/Hominis-Canidae-Hitsbr/formats=VBR%20MP3&file=/Hominis-Canidae-Hitsbr.zip,https://www.hominiscanidae.org/2021/12/hominis-canidae-hitsbr-2021.html,exact
2022 - Cajón & Carrilhão - Hominis Canidae #151 - Dezembro,2022,7,"4,5,6,9,10,12,13",archive.org,https://archive.org/compress/cajon-carrilhao-ijexarme-2023/formats=VBR%20MP3&file=/cajon-carrilhao-ijexarme-2023.zip,https://www.hominiscanidae.org/2023/02/cajon-carrilhao-ijexarme-2023.html,exact
2022 - The Wxlker - Hominis Canidae #146 - Julho,2022,7,"4,5,6,7,8,12,15",archive.org,https://archive.org/compress/the-wxlker-tudo-e-eterno-nada-e-para-sempre-2022,https://www.hominiscanidae.org/2022/12/the-wxlker-tudo-e-eterno-nada-e-para.html,exact
2023 - Miçanga! - Velhos Rabugentos Não Falarão Sobre Malk Espanca em 2099,2023,7,"4,5,6,8,11,12,13",archive.org,https://archive.org/compress/13.-maracatu-de-cyborg-centopeia-sound-system-remix/formats=VBR%20MP3&file=/13.-maracatu-de-cyborg-centopeia-sound-system-remix.zip,https://www.hominiscanidae.org/2025/05/micanga-velhos-rabugentos-nao-falarao.html,exact
2023 - The Wxlker - Hominis Canidae #156 - Maio,2023,7,"8,9,10,12,13,14,15",archive.org,https://archive.org/compress/the-wxlker-tudo-e-eterno-nada-e-para-sempre-2022,https://www.hominiscanidae.org/2022/12/the-wxlker-tudo-e-eterno-nada-e-para.html,exact
2013 - Rashid - Confundindo Sábios,2013,7,"7,8,9,11,12,13,14",bit.ly,http://bit.ly/16XgI7l,https://www.hominiscanidae.org/2013/11/rashid-confundindo-sabios-2013.html,exact
"2023 - Digmanybeats Penso FP4 - Digmanybeats Studio, Vol. 1",2023,7,"5,6,7,10,11,16,18",drive.google.com,https://drive.google.com/file/d/1ztQSGJBsC8ijtjoTtgLbmv3ZCu2KF-uY/view?usp=sharing,https://www.hominiscanidae.org/2024/07/digmanybeats-pazsado-mascote-flores-em.html,exact
2024 - Cipó Fogo - Hominis Canidae #172 - Setembro,2024,7,"5,7,9,10,11,12,13",drive.google.com,https://drive.google.com/file/d/1ztF0-q0vQ3XHcm4JVX8pU75QtnjcjPEH/view?usp=sharing,https://www.hominiscanidae.org/2024/09/cipo-fogo-born-enslaved-2024.html,exact
2026 - Yuri Costa - TUDO DEU INCRIVELMENTE ERRADO (2013-2017),2026,7,"6,9,12,13,17,19,22",dropbox.com,https://www.dropbox.com/scl/fi/1llc1o34f88vwt8vutpft/HOMINISCANIDAE.ORG-YC-TUDO-DEU-INCRIVELMENTE-ERRADO-2013-2017-2026.rar?rlkey=cvn9je8jmwavpekigf3nvn2wl&st=k5mltnsm&dl=0,https://www.hominiscanidae.org/2026/03/yuri-costa-tudo-deu-incrivelmente.html,exact
2013 - Ambrosino Martins - A Fantástica Ascenção de Severina Z,2013,7,"3,4,5,6,7,8,9",mega.co.nz,https://mega.co.nz/#!iUsQ1SpS!jFEk-WiIgU2ZztRImJCOYhxHDCPBN4oYqWGYlaPkYn8,https://www.hominiscanidae.org/2014/02/ambrosino-martins-fantastica-ascensao.html,exact
2013 - Ney Matogrosso - Atento aos Sinais,2013,7,"5,6,7,8,10,11,12",mega.co.nz,https://mega.co.nz/#!M4VwDBZT!nJ54BeluVsghr9Ty4fYPurT3nidKUPgBCiqGBqOEN6o,https://www.hominiscanidae.org/2014/03/ney-matogrosso-atento-aos-sinais-2013.html,exact
